"V1" "V2"
"1" 0.634384802725565 0.0339822826541162
"2" 0.841838044563441 0.866334798463088
"3" 0.196128993328395 0.722395710929829
"4" 0.32317938221552 0.390477931259998
"5" 0.865836865568001 0.308713298058137
"6" 0.66963918700016 0.227075264024149
"7" 0.267244692525959 0.984493995417974
"8" 0.0356748415755906 0.454309587799279
"9" 0.747378361062147 0.662643782960783
"10" 0.963830006375377 0.632190657945882
"11" 0.496806511705342 0.521324959334119
"12" 0.401100047414989 0.190446974061030
"13" 0.0929566437012649 0.123921300450872
"14" 0.501868821730438 0.854402589478663
